id_transacao,data,valor,descricao,tipo,status,conta_origem,conta_destino
cdea8ad3-62e8-4c80-b494-619e6a4e9773,2024-10-27,3986.65,Put above top travel.,pix,cancelado,GB60SNDL75483076933347,GB24TXPX74745510355945
285e8d20-8f40-476d-8ec8-4f739cd65a62,2025-02-20,-299.71,Now entire speech dinner daughter western that.,pix,cancelado,,GB22RHCP83773802384124
a608b43f-4cde-4b29-8019-f304a0b6c971,2023-10-23,3241.82,Strong require spend expect development.,pix,concluído,GB26URXP01956465159601,GB35TASJ25162754872420
bd104588-fa52-421f-89cb-56560c968eff,2024-11-09,1658.1,Middle home director model cell finally never.,crédito,cancelado,GB29YUAR18891088448006,GB11LOGZ72915789295818
1810f3eb-020f-48da-ab5e-2da6437c78e8,2025-02-06,4211.08,Listen full still knowledge keep.,pix,concluído,GB36JDLF40807044953324,GB96GUDD90152578171398
ff0e1803-850c-4536-95b6-ed8da69617b7,2025-05-14,-1982.62,Exist ever rest education meet.,débito,pendente,GB51AFGU53520786925244,GB16ZJZI11343276711172
3442294f-4d39-4d0d-bcef-1afb2cebbb8f,2023-07-22,2629.44,State should forward remember.,pix,pendente,GB83GVXZ72729020302934,GB23VBUY38367531210477
3b5615bd-9f00-40ff-87ea-e3f8ec15975f,2025-05-01,-2586.46,Describe environmental nothing trial room organization man.,pix,cancelado,GB88JJTQ27955792004600,GB46MPTR41842964931823
b04871db-fcb4-4068-bb02-2641aba019ed,2023-10-02,-51.29,You man late type wait pretty hotel.,transferência,cancelado,GB19FOSH72585524968574,GB96FKCZ19790787517818
3ac3b2b8-9ae4-47fa-b209-81850f85da0b,2025-03-10,-4906.57,Play then simply role.,pix,concluído,GB50QIXP01826712660861,GB91EEYD79574581304735
3e69e5dd-be89-4a39-b06a-40d34d6710de,2024-12-20,-2721.99,Education accept lose hit eat board.,transferência,cancelado,GB42NKSM05903184758022,GB60TCXE40243411380864
0400308d-1730-4523-bdc2-5e77d90a0e4a,2025-03-03,-3139.42,Of off laugh health night edge expect.,transferência,cancelado,GB58MNAH16155565106447,GB76PORB98454267979134
7e7cfc3f-8356-49f2-be91-35941a110a1a,2025-01-05,2954.54,Tonight former professor return clear course.,pix,cancelado,GB10GRXA57471463011714,GB62SSLQ89106479575218
010321b7-598b-42df-94b5-95179383cf81,2024-07-23,erro_valor,Poor clearly government.,transferência,concluído,GB75ZVLW96841460795538,GB28HGBZ78949221516928
59e98220-7c57-4049-9843-affbe5fe30f6,2023-06-06,3303.48,Bad wrong determine entire.,débito,pendente,GB90CWMX14841639004102,GB14GGQK79389325396142
e949570b-ecb1-46f5-9062-7c855f4d8c13,2024-06-01,-1488.82,Player with let partner tonight clear these.,crédito,pendente,GB20KQER80609394042452,GB55VJAA36618539817546
83a340e8-a6d5-4de1-a243-a30d498e5c88,2023-07-25,-3035.84,Century city history lead meet threat.,pix,concluído,GB93SZEA44639671364919,GB71MGYU68845663419818
d997a583-c536-4b31-8c02-9bfc6c3d1f11,2025-04-21,2974.15,Side western contain guy answer difference.,crédito,concluído,GB58ODOR07876414714075,GB88HHNC16224959827280
66488276-eb2c-459a-b9ec-76d4b36bc06a,2025-05-15,228.93,,débito,cancelado,GB04KUHF37719716987612,GB34YTMP59481793425963
5d4f1565-be80-495c-9f7b-62be86f546b1,2024-05-31,-3588.8,Total daughter important mind boy.,transferência,cancelado,GB19HQFY04565243708804,GB64WWOC34718108841559
eef237da-f518-4136-b660-e77ca299416c,2024-06-25,-3822.17,Air quickly blood certainly that.,crédito,pendente,GB64HEXD16593833366336,GB78UJXK60751954110592
7da44242-aa63-49ea-abfb-9f0666b48c9c,2024-04-12,-809.27,Energy suggest company model before risk.,pix,pendente,GB40BANK68508112449842,GB42CQNT93103469318308
d10b94f8-45a2-4cd6-acf9-5e929bca8aa4,2023-12-29,-3530.57,Church option argue church majority.,débito,,GB60OXXQ87100281782446,GB64GTYW84547436716462
8b9143f9-c424-4975-8174-ec73b5c8241f,2024-05-31,3139.02,Current item morning away material rule son.,transferência,concluído,GB27CUSA18124119469048,GB09AJXX61075364059901
1be5f2b5-355b-4e37-876b-566c32a3f0ba,2023-06-08,-3622.43,Continue large happen add social scene.,crédito,cancelado,GB33XQLV40959614782644,GB25QOXT35207255625805
6c5f77ef-8799-459a-8590-edd80c354c59,2024-11-28,-1280.62,Figure question though again must citizen station.,débito,cancelado,GB67TRNN50110969722455,GB36YOJX73857035262299
