id_transacao,data,valor,descricao,tipo,status,conta_origem,conta_destino
cdea8ad3-62e8-4c80-b494-619e6a4e9773,2024-10-27,3986.65,Put above top travel.,pix,cancelado,GB60SNDL75483076933347,GB24TXPX74745510355945
a608b43f-4cde-4b29-8019-f304a0b6c971,2023-10-23,3241.82,Strong require spend expect development.,pix,concluído,GB26URXP01956465159601,GB35TASJ25162754872420
bd104588-fa52-421f-89cb-56560c968eff,2024-11-09,1658.1,Middle home director model cell finally never.,crédito,cancelado,GB29YUAR18891088448006,GB11LOGZ72915789295818
1810f3eb-020f-48da-ab5e-2da6437c78e8,2025-02-06,4211.08,Listen full still knowledge keep.,pix,concluído,GB36JDLF40807044953324,GB96GUDD90152578171398
3442294f-4d39-4d0d-bcef-1afb2cebbb8f,2023-07-22,2629.44,State should forward remember.,pix,pendente,GB83GVXZ72729020302934,GB23VBUY38367531210477
7e7cfc3f-8356-49f2-be91-35941a110a1a,2025-01-05,2954.54,Tonight former professor return clear course.,pix,cancelado,GB10GRXA57471463011714,GB62SSLQ89106479575218
59e98220-7c57-4049-9843-affbe5fe30f6,2023-06-06,3303.48,Bad wrong determine entire.,débito,pendente,GB90CWMX14841639004102,GB14GGQK79389325396142
d997a583-c536-4b31-8c02-9bfc6c3d1f11,2025-04-21,2974.15,Side western contain guy answer difference.,crédito,concluído,GB58ODOR07876414714075,GB88HHNC16224959827280
66488276-eb2c-459a-b9ec-76d4b36bc06a,2025-05-15,228.93,No description,débito,cancelado,GB04KUHF37719716987612,GB34YTMP59481793425963
8b9143f9-c424-4975-8174-ec73b5c8241f,2024-05-31,3139.02,Current item morning away material rule son.,transferência,concluído,GB27CUSA18124119469048,GB09AJXX61075364059901
dc97fde8-9aef-403e-8e67-03eeaf9388e2,2023-06-28,3340.6,Front water form much decade no financial.,crédito,concluído,GB65PJQF94515890463225,GB23SPHK26867202809052
2dcc8ccc-3271-4b7e-8c5a-97051983ea73,2024-08-12,879.69,Center hand what.,débito,pendente,GB31EBQI56556806783896,GB63SBZE81442954420615
a0b988d3-6286-45a7-9253-6322700ef4e4,2024-02-13,278.38,Right region increase social head range machine.,transferência,pendente,GB40BZYK06001871313793,GB21DZLX86312947650754
532fe1ee-313d-4526-8ff6-5e1ef0a49883,2023-11-28,1055.47,Behind discover pass thank.,crédito,pendente,GB49AQKC59627141159865,GB85RAUQ03152108680921
b9cba325-b4d0-46a4-a0cb-e054ebdc8991,2025-05-25,519.25,Hundred suffer subject return.,pix,cancelado,GB84XXCJ74831408513770,GB96ZQKZ96796170473904
b89043cd-b79b-4d4f-8d85-8ccc71882a4e,2023-11-29,4938.97,Campaign head see.,pix,concluído,GB55YZOY86220318314916,GB88RWKS82496758017764
7ed8c0dd-dc45-4257-add4-3887566187a0,2025-03-24,3664.22,Large item part day trip.,crédito,cancelado,GB65LIJV22952611767539,GB45QQAL10091759854025
63d229b5-8594-4750-a79b-313ca6abb301,2023-07-30,271.28,Myself much later.,débito,pendente,GB22RZGZ45651007456399,GB12CZCW89563119684672
